strategy,count,delta,kappa,sim,seed
IL,86.5312,0.6,0.4,170,43
MF,33.4688,0.6,0.4,170,43
IL,69.0008,0.63,0.4,171,50
MF,50.9992,0.63,0.4,171,50
IL,24.212,0.13,0.4,172,47
MF,95.788,0.13,0.4,172,47
IL,83.2564,0.63,0.4,173,44
MF,36.7436,0.63,0.4,173,44
IL,58.2512,0.38,0.4,174,48
MF,61.7488,0.38,0.4,174,48
IL,104.7036,0.97,0.4,175,51
MF,15.2964,0.97,0.4,175,51
IL,33.212,0.19,0.4,176,43
MF,86.788,0.19,0.4,176,43
IL,50.1804,0.35,0.4,177,42
MF,69.8196,0.35,0.4,177,42
IL,25.1868,0.14,0.4,178,49
MF,94.8132,0.14,0.4,178,49
IL,106.4204,0.97,0.4,179,45
MF,13.5796,0.97,0.4,179,45
IL,71.2468,0.56,0.4,180,48
MF,48.7532,0.56,0.4,180,48
IL,108.1104,0.89,0.4,181,46
MF,11.8896,0.89,0.4,181,46
IL,105.5636,0.77,0.4,182,43
MF,14.4364,0.77,0.4,182,43
IL,70.236,0.61,0.4,183,43
MF,49.764,0.61,0.4,183,43
IL,33.602,0.23,0.4,184,42
MF,86.398,0.23,0.4,184,42
IL,55.044,0.4,0.4,185,50
MF,64.956,0.4,0.4,185,50
IL,98.3748,0.81,0.4,186,45
MF,21.6252,0.81,0.4,186,45
IL,15.5016,0.02,0.4,187,49
MF,104.4984,0.02,0.4,187,49
IL,49.0812,0.4,0.4,188,44
MF,70.9188,0.4,0.4,188,44
IL,104.1744,0.81,0.4,189,51
MF,15.8256,0.81,0.4,189,51
IL,49.7476,0.29,0.4,190,46
MF,70.2524,0.29,0.4,190,46
IL,96.522,0.75,0.4,191,44
MF,23.478,0.75,0.4,191,44
IL,88.0076,0.59,0.4,192,51
MF,31.9924,0.59,0.4,192,51
IL,84.5308,0.59,0.4,193,45
MF,35.4692,0.59,0.4,193,45
IL,15.108,0.05,0.4,194,47
MF,104.892,0.05,0.4,194,47
IL,100.762,0.75,0.4,195,50
MF,19.238,0.75,0.4,195,50
IL,71.7976,0.47,0.4,196,46
MF,48.2024,0.47,0.4,196,46
IL,104.8932,0.98,0.4,197,48
MF,15.1068,0.98,0.4,197,48
IL,55.5852,0.37,0.4,198,51
MF,64.4148,0.37,0.4,198,51
IL,108.9512,0.95,0.4,199,42
MF,11.0488,0.95,0.4,199,42
IL,44.734,0.37,0.4,200,45
MF,75.266,0.37,0.4,200,45
IL,75.6984,0.47,0.4,201,44
MF,44.3016,0.47,0.4,201,44
IL,66.8392,0.47,0.4,202,50
MF,53.1608,0.47,0.4,202,50
IL,46.9992,0.37,0.4,203,47
MF,73.0008,0.37,0.4,203,47
IL,11.1876,0.05,0.4,204,51
MF,108.8124,0.05,0.4,204,51
IL,55.8584,0.3,0.4,205,48
MF,64.1416,0.3,0.4,205,48
IL,92.2184,0.75,0.4,206,46
MF,27.7816,0.75,0.4,206,46
IL,52.6084,0.29,0.4,207,44
MF,67.3916,0.29,0.4,207,44
IL,98.078,0.86,0.4,208,49
MF,21.922,0.86,0.4,208,49
IL,43.6344,0.29,0.4,209,50
MF,76.3656,0.29,0.4,209,50
IL,17.4792,0.05,0.4,210,45
MF,102.5208,0.05,0.4,210,45
IL,69.5456,0.59,0.4,211,47
MF,50.4544,0.59,0.4,211,47
IL,95.3016,0.81,0.4,212,47
MF,24.6984,0.81,0.4,212,47
IL,73.9172,0.53,0.4,213,43
MF,46.0828,0.53,0.4,213,43
IL,87.7292,0.72,0.4,214,48
MF,32.2708,0.72,0.4,214,48
IL,57.0,0.4,0.4,215,46
MF,63.0,0.4,0.4,215,46
IL,20.074,0.11,0.4,216,42
MF,99.926,0.11,0.4,216,42
IL,108.5324,1.0,0.4,217,48
MF,11.4676,1.0,0.4,217,48
IL,96.9192,0.89,0.4,218,44
MF,23.0808,0.89,0.4,218,44
IL,46.0676,0.26,0.4,219,49
MF,73.9324,0.26,0.4,219,49
IL,98.6468,0.89,0.4,220,50
MF,21.3532,0.89,0.4,220,50
IL,18.6236,0.07,0.4,221,42
MF,101.3764,0.07,0.4,221,42
IL,70.4796,0.45,0.4,222,43
MF,49.5204,0.45,0.4,222,43
IL,77.132,0.64,0.4,223,48
MF,42.868,0.64,0.4,223,48
IL,97.7268,0.97,0.4,224,47
MF,22.2732,0.97,0.4,224,47
IL,65.4632,0.48,0.4,225,49
MF,54.5368,0.48,0.4,225,49
IL,75.2408,0.69,0.4,226,42
MF,44.7592,0.69,0.4,226,42
IL,34.1288,0.13,0.4,227,45
MF,85.8712,0.13,0.4,227,45
IL,104.0312,0.63,0.4,228,46
MF,15.9688,0.63,0.4,228,46
IL,26.2456,0.13,0.4,229,51
MF,93.7544,0.13,0.4,229,51
IL,33.9628,0.21,0.4,230,47
MF,86.0372,0.21,0.4,230,47
IL,85.3728,0.51,0.4,231,50
MF,34.6272,0.51,0.4,231,50
IL,66.8496,0.51,0.4,232,44
MF,53.1504,0.51,0.4,232,44
IL,59.0812,0.51,0.4,233,45
MF,60.9188,0.51,0.4,233,45
IL,70.1496,0.51,0.4,234,51
MF,49.8504,0.51,0.4,234,51
IL,42.5868,0.21,0.4,235,46
MF,77.4132,0.21,0.4,235,46
IL,14.52,0.13,0.4,236,50
MF,105.48,0.13,0.4,236,50
IL,63.1704,0.63,0.4,237,47
MF,56.8296,0.63,0.4,237,47
IL,23.2516,0.13,0.4,238,44
MF,96.7484,0.13,0.4,238,44
IL,65.9512,0.48,0.4,239,48
MF,54.0488,0.48,0.4,239,48
IL,103.6352,0.97,0.4,240,46
MF,16.3648,0.97,0.4,240,46
IL,66.724,0.69,0.4,241,43
MF,53.276,0.69,0.4,241,43
IL,66.2124,0.45,0.4,242,42
MF,53.7876,0.45,0.4,242,42
IL,83.624,0.64,0.4,243,49
MF,36.376,0.64,0.4,243,49
IL,105.644,0.89,0.4,244,51
MF,14.356,0.89,0.4,244,51
IL,31.1728,0.26,0.4,245,48
MF,88.8272,0.26,0.4,245,48
IL,23.686,0.07,0.4,246,43
MF,96.314,0.07,0.4,246,43
IL,94.9312,0.89,0.4,247,45
MF,25.0688,0.89,0.4,247,45
IL,109.592,1.0,0.4,248,49
MF,10.408,1.0,0.4,248,49
IL,31.3148,0.11,0.4,249,43
MF,88.6852,0.11,0.4,249,43
IL,77.8728,0.53,0.4,250,42
MF,42.1272,0.53,0.4,250,42
IL,41.1696,0.4,0.4,251,47
MF,78.8304,0.4,0.4,251,47
IL,97.6088,0.72,0.4,252,49
