strategy,avg_payoff,delta,kappa,seed,sim
MF,0.22825932922100137,0.63,0.4,47,237
IL,0.595286554082124,0.13,0.4,44,238
MF,0.6092942162128887,0.13,0.4,44,238
IL,0.5950060333831764,0.48,0.4,48,239
MF,0.34518025667580976,0.48,0.4,48,239
IL,0.595028181241715,0.97,0.4,46,240
MF,-0.017924547760089553,0.97,0.4,46,240
IL,0.5949677153608379,0.69,0.4,43,241
MF,0.2305029260058046,0.69,0.4,43,241
IL,0.595086416358825,0.45,0.4,42,242
MF,0.3944595663243046,0.45,0.4,42,242
IL,0.5950701347924469,0.64,0.4,49,243
MF,0.2796994962716097,0.64,0.4,49,243
IL,0.5950323180514774,0.89,0.4,51,244
MF,0.09611959065574649,0.89,0.4,51,244
IL,0.5950701663719474,0.26,0.4,48,245
MF,0.4322474602045983,0.26,0.4,48,245
IL,0.5950756832329869,0.07,0.4,43,246
MF,0.6803665724609739,0.07,0.4,43,246
IL,0.5949235367407096,0.89,0.4,45,247
MF,0.07959737864485285,0.89,0.4,45,247
IL,0.5950078103289393,1.0,0.4,49,248
MF,0.014744765454320036,1.0,0.4,49,248
IL,0.5951688988573265,0.11,0.4,43,249
MF,0.6687165570094312,0.11,0.4,43,249
IL,0.5949785025274192,0.53,0.4,42,250
MF,0.3462199500926148,0.53,0.4,42,250
IL,0.5950355920851573,0.4,0.4,47,251
MF,0.3172084117197095,0.4,0.4,47,251
IL,0.5950622704198685,0.72,0.4,49,252
MF,0.24032275733400407,0.72,0.4,49,252
IL,0.5950314945198534,0.81,0.4,46,253
MF,0.1711270809714389,0.81,0.4,46,253
IL,0.5951138293475522,0.59,0.4,46,254
MF,0.38160207975198784,0.59,0.4,46,254
IL,0.595093474042519,0.05,0.4,44,255
MF,0.7245705347609139,0.05,0.4,44,255
IL,0.5951409419439737,0.29,0.4,51,256
MF,0.4974518061977589,0.29,0.4,51,256
IL,0.594922151194657,0.86,0.4,48,257
MF,0.08564672897846301,0.86,0.4,48,257
IL,0.5952115993998255,0.29,0.4,45,258
MF,0.47128227267059347,0.29,0.4,45,258
IL,0.5950329428175363,0.75,0.4,47,259
MF,0.19829092354636996,0.75,0.4,47,259
IL,0.5950885536359966,0.3,0.4,49,260
MF,0.46546931863692115,0.3,0.4,49,260
IL,0.5952388787847231,0.05,0.4,50,261
MF,0.7083079726786584,0.05,0.4,50,261
IL,0.5950623121071038,0.37,0.4,46,262
MF,0.38893552353945454,0.37,0.4,46,262
IL,0.5950098663204034,0.47,0.4,51,263
MF,0.3906454192528248,0.47,0.4,51,263
IL,0.5951032381851858,0.47,0.4,45,264
MF,0.45069955167995385,0.47,0.4,45,264
IL,0.5949932581660872,0.96,0.4,48,265
MF,0.040073433786707545,0.96,0.4,48,265
IL,0.5946558186835273,0.39,0.4,51,266
MF,0.2743355402996813,0.39,0.4,51,266
IL,0.5949524386296156,0.15,0.4,44,267
MF,0.5721633535976219,0.15,0.4,44,267
IL,0.5950198540064513,0.49,0.4,46,268
MF,0.3944554342206352,0.49,0.4,46,268
IL,0.5950905307720321,0.15,0.4,50,269
MF,0.5930897025031293,0.15,0.4,50,269
IL,0.5950073265944061,0.65,0.4,47,270
MF,0.2867572352998129,0.65,0.4,47,270
IL,0.5950556347869571,0.39,0.4,45,271
MF,0.46454912966904294,0.39,0.4,45,271
IL,0.594979247047998,0.57,0.4,51,272
MF,0.3259735233320563,0.57,0.4,51,272
IL,0.5950161734187491,0.27,0.4,46,273
MF,0.5388652042823681,0.27,0.4,46,273
IL,0.5950912400509865,0.57,0.4,45,274
MF,0.3412047952901451,0.57,0.4,45,274
IL,0.5942417507912553,0.01,0.4,43,275
MF,0.7356647963547618,0.01,0.4,43,275
IL,0.5948806136002093,0.62,0.4,49,276
MF,0.2768733561672384,0.62,0.4,49,276
IL,0.5949687235514556,0.43,0.4,42,277
MF,0.4183089605575873,0.43,0.4,42,277
IL,0.5950086727808882,0.91,0.4,46,278
MF,0.053821725221564296,0.91,0.4,46,278
IL,0.5949656447362429,0.79,0.4,43,279
MF,0.1790041481058736,0.79,0.4,43,279
IL,0.5949715207270366,0.87,0.4,46,280
MF,0.10515242316270135,0.87,0.4,46,280
IL,0.5949510563138728,0.58,0.4,48,281
MF,0.28032684822398174,0.58,0.4,48,281
IL,0.5950178569323896,0.74,0.4,49,282
MF,0.24254385688037847,0.74,0.4,49,282
IL,0.5952204395740996,0.2,0.4,47,283
MF,0.5910694718681447,0.2,0.4,47,283
IL,0.5949011260341361,0.55,0.4,42,284
MF,0.3128696669031628,0.55,0.4,42,284
IL,0.5948890956167316,0.17,0.4,43,285
MF,0.5567221246849913,0.17,0.4,43,285
