strategy,count,delta,lambda,kappa,sim,seed
MF,69.5372,0.24,0.3,0.4,2500,48
IL,29.7216,0.73,0.1,0.4,2501,43
MB,24.116,0.73,0.1,0.4,2501,43
MF,66.1624,0.73,0.1,0.4,2501,43
IL,27.5824,0.65,0.2,0.4,2502,46
MB,70.4824,0.65,0.2,0.4,2502,46
MF,21.9352,0.65,0.2,0.4,2502,46
IL,21.2404,0.57,0.1,0.4,2503,45
MB,83.9908,0.57,0.1,0.4,2503,45
MF,14.7688,0.57,0.1,0.4,2503,45
IL,49.9588,0.55,0.3,0.4,2504,48
MB,33.4184,0.55,0.3,0.4,2504,48
MF,36.6228,0.55,0.3,0.4,2504,48
IL,57.1292,0.83,0.3,0.4,2505,42
MB,56.054,0.83,0.3,0.4,2505,42
MF,7.464739378011388,0.83,0.3,0.4,2505,42
IL,55.4132,0.39,0.3,0.4,2506,42
MB,18.2188,0.39,0.3,0.4,2506,42
MF,46.368,0.39,0.3,0.4,2506,42
IL,16.189991863303497,0.57,0.1,0.4,2507,51
MB,90.7272,0.57,0.1,0.4,2507,51
MF,13.3548,0.57,0.1,0.4,2507,51
IL,14.8888,0.6,0.1,0.4,2508,43
MB,99.926,0.6,0.1,0.4,2508,43
MF,5.836560108059433,0.6,0.1,0.4,2508,43
IL,25.8312,0.13,0.3,0.4,2509,48
MB,3.4760661444734553,0.13,0.3,0.4,2509,48
MF,90.9736,0.13,0.3,0.4,2509,48
IL,12.077951002227172,0.35,0.1,0.4,2510,43
MB,30.5288,0.35,0.1,0.4,2510,43
MF,78.6252,0.35,0.1,0.4,2510,43
IL,25.7464,0.23,0.2,0.4,2511,46
MB,31.3128,0.23,0.2,0.4,2511,46
MF,62.9408,0.23,0.2,0.4,2511,46
IL,9.0108,0.11,0.1,0.4,2512,45
MB,27.2952,0.11,0.1,0.4,2512,45
MF,83.694,0.11,0.1,0.4,2512,45
IL,19.3888,0.99,0.2,0.4,2513,46
MB,93.84,0.99,0.2,0.4,2513,46
MF,7.719106247150023,0.99,0.2,0.4,2513,46
IL,27.0856,0.59,0.1,0.4,2514,49
MB,54.1156,0.59,0.1,0.4,2514,49
MF,38.7988,0.59,0.1,0.4,2514,49
IL,16.5776,0.11,0.1,0.4,2515,51
MB,44.7196,0.11,0.1,0.4,2515,51
MF,58.7028,0.11,0.1,0.4,2515,51
IL,27.27,0.56,0.2,0.4,2516,50
MB,66.1492,0.56,0.2,0.4,2516,50
MF,26.5808,0.56,0.2,0.4,2516,50
IL,42.946,0.94,0.3,0.4,2517,46
MB,70.2792,0.94,0.3,0.4,2517,46
MF,6.7748,0.94,0.3,0.4,2517,46
IL,18.2244,0.72,0.2,0.4,2518,42
MB,67.1364,0.72,0.2,0.4,2518,42
MF,34.6392,0.72,0.2,0.4,2518,42
IL,32.4972,0.56,0.2,0.4,2519,44
MB,58.5188,0.56,0.2,0.4,2519,44
MF,28.984,0.56,0.2,0.4,2519,44
IL,16.7984,0.64,0.1,0.4,2520,47
MB,88.8388,0.64,0.1,0.4,2520,47
MF,14.3628,0.64,0.1,0.4,2520,47
IL,34.6068,0.7,0.2,0.4,2521,42
MB,66.76,0.7,0.2,0.4,2521,42
MF,18.6332,0.7,0.2,0.4,2521,42
IL,15.5752,0.58,0.2,0.4,2522,48
MB,56.7944,0.58,0.2,0.4,2522,48
MF,47.6304,0.58,0.2,0.4,2522,48
IL,6.6479802143446,0.98,0.1,0.4,2523,47
MB,107.9548,0.98,0.1,0.4,2523,47
MF,5.596238495398159,0.98,0.1,0.4,2523,47
IL,27.7916,0.34,0.2,0.4,2524,42
MB,46.134,0.34,0.2,0.4,2524,42
MF,46.0744,0.34,0.2,0.4,2524,42
IL,17.4412,0.22,0.1,0.4,2525,47
MB,27.0632,0.22,0.1,0.4,2525,47
MF,75.4956,0.22,0.1,0.4,2525,47
IL,36.8524,0.68,0.3,0.4,2526,46
MB,71.4796,0.68,0.3,0.4,2526,46
MF,11.668,0.68,0.3,0.4,2526,46
IL,36.1924,0.35,0.3,0.4,2527,44
MB,27.6176,0.35,0.3,0.4,2527,44
MF,56.19,0.35,0.3,0.4,2527,44
IL,13.7648,0.11,0.3,0.4,2528,42
MB,5.237826086956522,0.11,0.3,0.4,2528,42
MF,101.4164,0.11,0.3,0.4,2528,42
IL,6.0232,0.37,0.1,0.4,2529,49
MB,105.3052,0.37,0.1,0.4,2529,49
MF,8.6716,0.37,0.1,0.4,2529,49
IL,19.0652,0.4,0.1,0.4,2530,49
MB,87.176,0.4,0.1,0.4,2530,49
MF,13.7588,0.4,0.1,0.4,2530,49
IL,30.342,0.6,0.3,0.4,2531,44
MB,52.6156,0.6,0.3,0.4,2531,44
MF,37.0424,0.6,0.3,0.4,2531,44
IL,43.5696,0.6,0.3,0.4,2532,50
MB,38.5692,0.6,0.3,0.4,2532,50
MF,37.8612,0.6,0.3,0.4,2532,50
IL,34.818,0.35,0.3,0.4,2533,50
MB,33.72,0.35,0.3,0.4,2533,50
MF,51.462,0.35,0.3,0.4,2533,50
IL,52.794,0.8,0.3,0.4,2534,48
MB,52.8076,0.8,0.3,0.4,2534,48
MF,14.3984,0.8,0.3,0.4,2534,48
IL,15.185980551053484,0.39,0.1,0.4,2535,45
MB,88.6452,0.39,0.1,0.4,2535,45
MF,16.3632,0.39,0.1,0.4,2535,45
IL,12.0272,0.83,0.1,0.4,2536,45
MB,99.66,0.83,0.1,0.4,2536,45
MF,8.3128,0.83,0.1,0.4,2536,45
IL,23.9616,0.71,0.1,0.4,2537,49
MB,85.124,0.71,0.1,0.4,2537,49
MF,10.9144,0.71,0.1,0.4,2537,49
IL,36.1472,0.73,0.3,0.4,2538,44
MB,71.146,0.73,0.3,0.4,2538,44
MF,14.056194690265487,0.73,0.3,0.4,2538,44
IL,36.3144,0.81,0.3,0.4,2539,48
MB,76.3788,0.81,0.3,0.4,2539,48
MF,7.3068,0.81,0.3,0.4,2539,48
IL,28.994,0.57,0.3,0.4,2540,42
MB,72.6268,0.57,0.3,0.4,2540,42
MF,18.3792,0.57,0.3,0.4,2540,42
IL,69.9432,0.73,0.3,0.4,2541,50
MB,22.7196,0.73,0.3,0.4,2541,50
MF,27.3372,0.73,0.3,0.4,2541,50
IL,26.402,0.39,0.1,0.4,2542,51
MB,50.53,0.39,0.1,0.4,2542,51
MF,43.068,0.39,0.1,0.4,2542,51
IL,21.4016,0.83,0.1,0.4,2543,51
MB,90.2648,0.83,0.1,0.4,2543,51
MF,8.3336,0.83,0.1,0.4,2543,51
IL,39.5964,0.36,0.2,0.4,2544,48
MB,23.4064,0.36,0.2,0.4,2544,48
MF,56.9972,0.36,0.2,0.4,2544,48
IL,8.5352,0.06,0.3,0.4,2545,46
MB,14.3488,0.06,0.3,0.4,2545,46
MF,97.116,0.06,0.3,0.4,2545,46
IL,43.0448,0.5,0.2,0.4,2546,48
MB,27.7756,0.5,0.2,0.4,2546,48
MF,49.1796,0.5,0.2,0.4,2546,48
IL,39.0644,0.82,0.2,0.4,2547,50
MB,56.062,0.82,0.2,0.4,2547,50
MF,24.8736,0.82,0.2,0.4,2547,50
IL,29.8936,0.38,0.2,0.4,2548,50
MB,62.0728,0.38,0.2,0.4,2548,50
MF,28.0336,0.38,0.2,0.4,2548,50
IL,24.2888,0.82,0.2,0.4,2549,44
MB,80.8628,0.82,0.2,0.4,2549,44
MF,14.8484,0.82,0.2,0.4,2549,44
IL,20.6444,0.38,0.2,0.4,2550,44
MB,66.44,0.38,0.2,0.4,2550,44
MF,32.9156,0.38,0.2,0.4,2550,44
IL,55.8248,0.31,0.3,0.4,2551,46
MB,10.3596,0.31,0.3,0.4,2551,46
MF,53.8156,0.31,0.3,0.4,2551,46
IL,35.5068,0.49,0.2,0.4,2552,44
MB,43.1132,0.49,0.2,0.4,2552,44
MF,41.38,0.49,0.2,0.4,2552,44
IL,8.5144,0.01,0.2,0.4,2553,48
MB,6.288062283737024,0.01,0.2,0.4,2553,48
MF,105.6704,0.01,0.2,0.4,2553,48
IL,18.6008,0.2,0.3,0.4,2554,46
MB,11.5868,0.2,0.3,0.4,2554,46
MF,89.8124,0.2,0.3,0.4,2554,46
IL,23.5924,0.49,0.2,0.4,2555,50
MB,46.4632,0.49,0.2,0.4,2555,50
MF,49.9444,0.49,0.2,0.4,2555,50
IL,43.6244,0.47,0.2,0.4,2556,48
MB,45.982,0.47,0.2,0.4,2556,48
MF,30.3936,0.47,0.2,0.4,2556,48
IL,6.903727980335928,0.87,0.1,0.4,2557,47
MB,107.6664,0.87,0.1,0.4,2557,47
MF,5.699959233591521,0.87,0.1,0.4,2557,47
IL,13.7464,0.91,0.2,0.4,2558,42
MB,98.378,0.91,0.2,0.4,2558,42
MF,8.03960800326664,0.91,0.2,0.4,2558,42
IL,48.5692,0.77,0.3,0.4,2559,46
MB,37.324,0.77,0.3,0.4,2559,46
MF,34.1068,0.77,0.3,0.4,2559,46
IL,26.4204,1.0,0.2,0.4,2560,46
MB,81.1864,1.0,0.2,0.4,2560,46
MF,12.3932,1.0,0.2,0.4,2560,46
IL,9.378672032193158,0.02,0.3,0.4,2561,50
MB,12.4288,0.02,0.3,0.4,2561,50
MF,98.2488,0.02,0.3,0.4,2561,50
IL,10.82,0.48,0.1,0.4,2562,51
MB,101.4224,0.48,0.1,0.4,2562,51
MF,7.7576,0.48,0.1,0.4,2562,51
IL,19.9404,0.48,0.1,0.4,2563,45
MB,81.4936,0.48,0.1,0.4,2563,45
MF,18.566,0.48,0.1,0.4,2563,45
IL,18.9088,0.26,0.3,0.4,2564,42
MB,12.578774167009461,0.26,0.3,0.4,2564,42
MF,88.8596,0.26,0.3,0.4,2564,42
IL,9.2472,0.02,0.3,0.4,2565,44
MB,9.8588,0.02,0.3,0.4,2565,44
MF,100.894,0.02,0.3,0.4,2565,44
IL,51.9104,0.44,0.3,0.4,2566,50
MB,17.1724,0.44,0.3,0.4,2566,50
MF,50.9172,0.44,0.3,0.4,2566,50
IL,63.3096,0.44,0.3,0.4,2567,44
MB,8.1752,0.44,0.3,0.4,2567,44
MF,48.5152,0.44,0.3,0.4,2567,44
IL,43.2908,0.86,0.2,0.4,2568,46
MB,74.3208,0.86,0.2,0.4,2568,46
MF,2.90842669264491,0.86,0.2,0.4,2568,46
IL,17.2072,0.46,0.1,0.4,2569,49
MB,64.5188,0.46,0.1,0.4,2569,49
MF,38.274,0.46,0.1,0.4,2569,49
IL,12.7088,0.86,0.2,0.4,2570,47
MB,77.582,0.86,0.2,0.4,2570,47
MF,29.7092,0.86,0.2,0.4,2570,47
IL,14.8368,0.46,0.1,0.4,2571,48
MB,90.832,0.46,0.1,0.4,2571,48
MF,14.3312,0.46,0.1,0.4,2571,48
IL,27.1888,0.44,0.3,0.4,2572,45
MB,25.8696,0.44,0.3,0.4,2572,45
MF,66.9416,0.44,0.3,0.4,2572,45
IL,59.168,0.44,0.3,0.4,2573,51
MB,14.4628,0.44,0.3,0.4,2573,51
MF,46.3692,0.44,0.3,0.4,2573,51
IL,10.3096,0.02,0.3,0.4,2574,45
MB,7.807756463719766,0.02,0.3,0.4,2574,45
MF,102.2012,0.02,0.3,0.4,2574,45
IL,31.2292,0.26,0.3,0.4,2575,43
MB,22.178,0.26,0.3,0.4,2575,43
MF,66.5928,0.26,0.3,0.4,2575,43
IL,26.1832,0.48,0.1,0.4,2576,44
MB,57.644,0.48,0.1,0.4,2576,44
MF,36.1728,0.48,0.1,0.4,2576,44
IL,22.1904,0.48,0.1,0.4,2577,50
MB,71.4176,0.48,0.1,0.4,2577,50
MF,26.392,0.48,0.1,0.4,2577,50
IL,6.918762886597938,0.02,0.3,0.4,2578,51
MB,5.739642567018684,0.02,0.3,0.4,2578,51
MF,107.6364,0.02,0.3,0.4,2578,51
IL,48.9524,1.0,0.2,0.4,2579,47
MB,66.2432,1.0,0.2,0.4,2579,47
MF,4.8044,1.0,0.2,0.4,2579,47
IL,40.9024,0.77,0.3,0.4,2580,47
MB,74.0992,0.77,0.3,0.4,2580,47
MF,5.381567614125753,0.77,0.3,0.4,2580,47
IL,43.5668,0.91,0.2,0.4,2581,43
MB,66.9472,0.91,0.2,0.4,2581,43
MF,9.486,0.91,0.2,0.4,2581,43
IL,49.1116,0.47,0.2,0.4,2582,49
MB,37.7068,0.47,0.2,0.4,2582,49
MF,33.1816,0.47,0.2,0.4,2582,49
IL,34.356,0.87,0.1,0.4,2583,46
MB,58.0336,0.87,0.1,0.4,2583,46
MF,27.6104,0.87,0.1,0.4,2583,46
IL,18.74339162261082,0.49,0.2,0.4,2584,51
MB,75.9444,0.49,0.2,0.4,2584,51
MF,25.6196,0.49,0.2,0.4,2584,51
IL,11.1164,0.01,0.2,0.4,2585,49
MB,16.9016,0.01,0.2,0.4,2585,49
MF,91.982,0.01,0.2,0.4,2585,49
IL,26.3856,0.49,0.2,0.4,2586,45
MB,55.0352,0.49,0.2,0.4,2586,45
MF,38.5792,0.49,0.2,0.4,2586,45
IL,56.6224,0.31,0.3,0.4,2587,47
MB,8.438925081433224,0.31,0.3,0.4,2587,47
MF,55.0872,0.31,0.3,0.4,2587,47
IL,42.5844,0.2,0.3,0.4,2588,47
MB,13.2256,0.2,0.3,0.4,2588,47
MF,64.19,0.2,0.3,0.4,2588,47
IL,16.1416,0.38,0.2,0.4,2589,45
MB,71.6116,0.38,0.2,0.4,2589,45
MF,32.2468,0.38,0.2,0.4,2589,45
IL,23.4784,0.82,0.2,0.4,2590,45
MB,89.1236,0.82,0.2,0.4,2590,45
MF,7.398,0.82,0.2,0.4,2590,45
IL,31.9204,0.38,0.2,0.4,2591,51
MB,36.776,0.38,0.2,0.4,2591,51
MF,51.3036,0.38,0.2,0.4,2591,51
IL,36.5012,0.82,0.2,0.4,2592,51
MB,59.082,0.82,0.2,0.4,2592,51
MF,24.4168,0.82,0.2,0.4,2592,51
IL,12.93,0.06,0.3,0.4,2593,47
MB,7.8734643734643734,0.06,0.3,0.4,2593,47
MF,99.3792,0.06,0.3,0.4,2593,47
IL,14.3668,0.36,0.2,0.4,2594,49
MB,18.0568,0.36,0.2,0.4,2594,49
MF,87.5764,0.36,0.2,0.4,2594,49
IL,28.6928,0.5,0.2,0.4,2595,49
MB,49.8564,0.5,0.2,0.4,2595,49
MF,41.4508,0.5,0.2,0.4,2595,49
IL,19.902,0.83,0.1,0.4,2596,50
MB,83.41,0.83,0.1,0.4,2596,50
MF,16.688,0.83,0.1,0.4,2596,50
IL,16.4428,0.39,0.1,0.4,2597,50
MB,72.8684,0.39,0.1,0.4,2597,50
MF,30.6888,0.39,0.1,0.4,2597,50
IL,43.8804,0.73,0.3,0.4,2598,51
MB,33.9976,0.73,0.3,0.4,2598,51
MF,42.122,0.73,0.3,0.4,2598,51
IL,37.8312,0.8,0.3,0.4,2599,49
MB,65.494,0.8,0.3,0.4,2599,49
MF,16.6748,0.8,0.3,0.4,2599,49
IL,43.7172,0.57,0.3,0.4,2600,43
MB,32.0368,0.57,0.3,0.4,2600,43
MF,44.246,0.57,0.3,0.4,2600,43
IL,66.254,0.81,0.3,0.4,2601,49
MB,43.3308,0.81,0.3,0.4,2601,49
MF,10.606109979633402,0.81,0.3,0.4,2601,49
IL,46.6672,0.73,0.3,0.4,2602,45
MB,58.306,0.73,0.3,0.4,2602,45
MF,15.0268,0.73,0.3,0.4,2602,45
IL,23.5324,0.71,0.1,0.4,2603,48
MB,77.694,0.71,0.1,0.4,2603,48
MF,18.7736,0.71,0.1,0.4,2603,48
IL,13.3472,0.83,0.1,0.4,2604,44
MB,61.4336,0.83,0.1,0.4,2604,44
MF,45.2192,0.83,0.1,0.4,2604,44
IL,18.3408,0.39,0.1,0.4,2605,44
MB,48.9616,0.39,0.1,0.4,2605,44
MF,52.6976,0.39,0.1,0.4,2605,44
IL,69.3492,0.6,0.3,0.4,2606,51
MB,12.68642370845014,0.6,0.3,0.4,2606,51
MF,37.9796,0.6,0.3,0.4,2606,51
IL,29.9808,0.35,0.3,0.4,2607,51
MB,15.0004,0.35,0.3,0.4,2607,51
MF,75.0188,0.35,0.3,0.4,2607,51
IL,12.648,0.37,0.1,0.4,2608,48
MB,56.3432,0.37,0.1,0.4,2608,48
MF,51.0088,0.37,0.1,0.4,2608,48
IL,13.9348,0.11,0.3,0.4,2609,43
MB,6.8356,0.11,0.3,0.4,2609,43
MF,99.2296,0.11,0.3,0.4,2609,43
IL,46.73,0.35,0.3,0.4,2610,45
MB,16.6492,0.35,0.3,0.4,2610,45
MF,56.6208,0.35,0.3,0.4,2610,45
IL,57.5824,0.6,0.3,0.4,2611,45
MB,34.8836,0.6,0.3,0.4,2611,45
MF,27.534,0.6,0.3,0.4,2611,45
IL,15.4952,0.4,0.1,0.4,2612,48
MB,79.9136,0.4,0.1,0.4,2612,48
MF,24.5912,0.4,0.1,0.4,2612,48
IL,40.3664,0.7,0.2,0.4,2613,43
MB,57.5552,0.7,0.2,0.4,2613,43
MF,22.0784,0.7,0.2,0.4,2613,43
IL,64.6144,0.68,0.3,0.4,2614,47
MB,31.7408,0.68,0.3,0.4,2614,47
MF,23.6448,0.68,0.3,0.4,2614,47
IL,11.8968,0.22,0.1,0.4,2615,46
MB,52.0084,0.22,0.1,0.4,2615,46
MF,56.0948,0.22,0.1,0.4,2615,46
IL,33.9344,0.34,0.2,0.4,2616,43
MB,44.8536,0.34,0.2,0.4,2616,43
MF,41.212,0.34,0.2,0.4,2616,43
IL,22.2504,0.58,0.2,0.4,2617,49
MB,64.4276,0.58,0.2,0.4,2617,49
MF,33.322,0.58,0.2,0.4,2617,49
IL,13.5124,0.98,0.1,0.4,2618,46
MB,103.2288,0.98,0.1,0.4,2618,46
MF,3.516184721622788,0.98,0.1,0.4,2618,46
IL,21.81,0.64,0.1,0.4,2619,46
MB,79.3124,0.64,0.1,0.4,2619,46
MF,18.8776,0.64,0.1,0.4,2619,46
IL,23.1196,0.56,0.2,0.4,2620,45
MB,86.0728,0.56,0.2,0.4,2620,45
MF,10.8076,0.56,0.2,0.4,2620,45
IL,26.3368,0.72,0.2,0.4,2621,43
MB,67.9232,0.72,0.2,0.4,2621,43
MF,25.74,0.72,0.2,0.4,2621,43
IL,74.8624,0.94,0.3,0.4,2622,47
MB,26.7108,0.94,0.3,0.4,2622,47
MF,18.4268,0.94,0.3,0.4,2622,47
IL,25.042,0.56,0.2,0.4,2623,51
MB,63.0672,0.56,0.2,0.4,2623,51
MF,31.8908,0.56,0.2,0.4,2623,51
IL,10.355084067253802,0.11,0.1,0.4,2624,50
MB,25.308,0.11,0.1,0.4,2624,50
MF,84.3452,0.11,0.1,0.4,2624,50
IL,39.6328,0.6,0.1,0.4,2625,42
MB,66.6116,0.6,0.1,0.4,2625,42
MF,13.7556,0.6,0.1,0.4,2625,42
IL,27.1844,0.99,0.2,0.4,2626,47
MB,80.0712,0.99,0.2,0.4,2626,47
MF,12.7444,0.99,0.2,0.4,2626,47
IL,23.3476,0.59,0.1,0.4,2627,48
MB,78.19,0.59,0.1,0.4,2627,48
MF,18.4624,0.59,0.1,0.4,2627,48
IL,9.291108404384897,0.11,0.1,0.4,2628,44
MB,73.976,0.11,0.1,0.4,2628,44
MF,36.8704,0.11,0.1,0.4,2628,44
IL,27.4456,0.23,0.2,0.4,2629,47
MB,9.818327330932373,0.23,0.2,0.4,2629,47
MF,82.74,0.23,0.2,0.4,2629,47
IL,20.4428,0.35,0.1,0.4,2630,42
MB,52.1736,0.35,0.1,0.4,2630,42
MF,47.3836,0.35,0.1,0.4,2630,42
IL,8.7728,0.13,0.3,0.4,2631,49
MB,18.8824,0.13,0.3,0.4,2631,49
MF,92.3448,0.13,0.3,0.4,2631,49
IL,10.1344,0.57,0.1,0.4,2632,50
MB,84.9412,0.57,0.1,0.4,2632,50
MF,24.9244,0.57,0.1,0.4,2632,50
IL,56.1552,0.39,0.3,0.4,2633,43
MB,19.1644,0.39,0.3,0.4,2633,43
MF,44.6804,0.39,0.3,0.4,2633,43
IL,52.6708,0.83,0.3,0.4,2634,43
MB,56.8832,0.83,0.3,0.4,2634,43
MF,10.446,0.83,0.3,0.4,2634,43
IL,30.4296,0.55,0.3,0.4,2635,49
MB,51.766,0.55,0.3,0.4,2635,49
MF,37.8044,0.55,0.3,0.4,2635,49
IL,16.6472,0.57,0.1,0.4,2636,44
MB,85.2032,0.57,0.1,0.4,2636,44
MF,18.1496,0.57,0.1,0.4,2636,44
IL,34.1152,0.65,0.2,0.4,2637,47
MB,50.5292,0.65,0.2,0.4,2637,47
MF,35.3556,0.65,0.2,0.4,2637,47
IL,18.136,0.73,0.1,0.4,2638,42
MB,95.028,0.73,0.1,0.4,2638,42
MF,6.836,0.73,0.1,0.4,2638,42
IL,31.4332,0.24,0.3,0.4,2639,49
MB,10.1764,0.24,0.3,0.4,2639,49
MF,78.3904,0.24,0.3,0.4,2639,49
IL,52.348,0.48,0.3,0.4,2640,43
MB,20.5728,0.48,0.3,0.4,2640,43
MF,47.0792,0.48,0.3,0.4,2640,43
IL,9.2856,0.02,0.1,0.4,2641,42
MB,16.1412,0.02,0.1,0.4,2641,42
MF,94.5732,0.02,0.1,0.4,2641,42
IL,28.0512,0.26,0.1,0.4,2642,44
MB,37.7952,0.26,0.1,0.4,2642,44
MF,54.1536,0.26,0.1,0.4,2642,44
IL,24.0588,0.14,0.2,0.4,2643,47
MB,6.139951179820993,0.14,0.2,0.4,2643,47
MF,89.9044,0.14,0.2,0.4,2643,47
IL,5.146,0.26,0.1,0.4,2644,50
MB,48.73,0.26,0.1,0.4,2644,50
MF,66.124,0.26,0.1,0.4,2644,50
IL,14.2236,0.44,0.1,0.4,2645,42
MB,74.5036,0.44,0.1,0.4,2645,42
MF,31.2728,0.44,0.1,0.4,2645,42
IL,10.1492,0.92,0.1,0.4,2646,48
MB,102.0236,0.92,0.1,0.4,2646,48
MF,7.8272,0.92,0.1,0.4,2646,48
IL,28.0056,0.52,0.2,0.4,2647,47
MB,60.772,0.52,0.2,0.4,2647,47
MF,31.2224,0.52,0.2,0.4,2647,47
IL,15.4484,0.28,0.1,0.4,2648,48
MB,60.3344,0.28,0.1,0.4,2648,48
MF,44.2172,0.28,0.1,0.4,2648,48
IL,52.3888,0.62,0.3,0.4,2649,49
MB,32.9216,0.62,0.3,0.4,2649,49
MF,34.6896,0.62,0.3,0.4,2649,49
IL,25.9184,0.27,0.2,0.4,2650,51
MB,20.5356,0.27,0.2,0.4,2650,51
MF,73.546,0.27,0.2,0.4,2650,51
IL,16.2824,0.03,0.2,0.4,2651,43
MB,8.354,0.03,0.2,0.4,2651,43
MF,95.3636,0.03,0.2,0.4,2651,43
IL,30.3676,0.15,0.1,0.4,2652,46
MB,19.798,0.15,0.1,0.4,2652,46
MF,69.8344,0.15,0.1,0.4,2652,46
IL,14.278111244497799,0.27,0.2,0.4,2653,45
MB,69.4032,0.27,0.2,0.4,2653,45
MF,36.3244,0.27,0.2,0.4,2653,45
IL,39.5144,0.61,0.2,0.4,2654,51
MB,49.7468,0.61,0.2,0.4,2654,51
MF,30.7388,0.61,0.2,0.4,2654,51
IL,25.394,0.19,0.3,0.4,2655,47
MB,9.5532,0.19,0.3,0.4,2655,47
MF,85.0528,0.19,0.3,0.4,2655,47
IL,37.3868,0.29,0.2,0.4,2656,49
MB,42.7088,0.29,0.2,0.4,2656,49
MF,39.9044,0.29,0.2,0.4,2656,49
IL,25.4124,0.45,0.2,0.4,2657,43
MB,41.2444,0.45,0.2,0.4,2657,43
MF,53.3432,0.45,0.2,0.4,2657,43
IL,9.8128,0.53,0.1,0.4,2658,46
MB,91.3044,0.53,0.1,0.4,2658,46
MF,18.8828,0.53,0.1,0.4,2658,46
IL,23.7808,0.93,0.2,0.4,2659,49
MB,78.9368,0.93,0.2,0.4,2659,49
MF,17.2824,0.93,0.2,0.4,2659,49
IL,27.6516,0.61,0.2,0.4,2660,45
MB,59.9808,0.61,0.2,0.4,2660,45
MF,32.3676,0.61,0.2,0.4,2660,45
IL,43.7212,0.33,0.3,0.4,2661,49
MB,11.7188,0.33,0.3,0.4,2661,49
MF,64.56,0.33,0.3,0.4,2661,49
IL,49.686,0.89,0.3,0.4,2662,49
MB,54.1364,0.89,0.3,0.4,2662,49
MF,16.1776,0.89,0.3,0.4,2662,49
IL,13.6264,0.79,0.1,0.4,2663,48
MB,85.8568,0.79,0.1,0.4,2663,48
MF,20.5168,0.79,0.1,0.4,2663,48
IL,9.2532,0.03,0.2,0.4,2664,47
MB,13.8412,0.03,0.2,0.4,2664,47
MF,96.9056,0.03,0.2,0.4,2664,47
IL,22.5252,0.31,0.1,0.4,2665,44
MB,47.7592,0.31,0.1,0.4,2665,44
MF,49.7156,0.31,0.1,0.4,2665,44
IL,17.8296,0.15,0.1,0.4,2666,42
MB,36.5956,0.15,0.1,0.4,2666,42
MF,65.5748,0.15,0.1,0.4,2666,42
IL,11.3548,0.2,0.1,0.4,2667,44
MB,54.07,0.2,0.1,0.4,2667,44
MF,54.5752,0.2,0.1,0.4,2667,44
IL,12.368649587494572,0.0,0.3,0.4,2668,49
MB,5.633898305084746,0.0,0.3,0.4,2668,49
MF,103.2876,0.0,0.3,0.4,2668,49
IL,21.67,0.2,0.1,0.4,2669,50
MB,44.886,0.2,0.1,0.4,2669,50
MF,53.444,0.2,0.1,0.4,2669,50
IL,21.7452,0.31,0.1,0.4,2670,50
MB,45.5556,0.31,0.1,0.4,2670,50
MF,52.6992,0.31,0.1,0.4,2670,50
IL,10.9012,0.85,0.1,0.4,2671,48
MB,94.078,0.85,0.1,0.4,2671,48
MF,15.0208,0.85,0.1,0.4,2671,48
IL,33.1376,0.45,0.2,0.4,2672,47
MB,51.2536,0.45,0.2,0.4,2672,47
MF,35.6088,0.45,0.2,0.4,2672,47
IL,26.0072,0.77,0.1,0.4,2673,44
MB,83.0628,0.77,0.1,0.4,2673,44
MF,10.93,0.77,0.1,0.4,2673,44
IL,34.5124,0.53,0.1,0.4,2674,42
MB,44.0308,0.53,0.1,0.4,2674,42
MF,41.4568,0.53,0.1,0.4,2674,42
IL,37.434,0.19,0.3,0.4,2675,43
MB,9.50758507585076,0.19,0.3,0.4,2675,43
MF,73.2904,0.19,0.3,0.4,2675,43
IL,57.5408,0.75,0.3,0.4,2676,49
MB,18.4672,0.75,0.3,0.4,2676,49
MF,43.992,0.75,0.3,0.4,2676,49
IL,67.0428,0.87,0.3,0.4,2677,45
MB,47.2084,0.87,0.3,0.4,2677,45
MF,7.178821178821178,0.87,0.3,0.4,2677,45
IL,93.0388,0.87,0.3,0.4,2678,51
MB,5.5515355490113585,0.87,0.3,0.4,2678,51
MF,23.806324110671937,0.87,0.3,0.4,2678,51
IL,12.9396,0.77,0.1,0.4,2679,50
MB,99.8752,0.77,0.1,0.4,2679,50
MF,7.1852,0.77,0.1,0.4,2679,50
IL,20.7004,0.3,0.2,0.4,2680,51
MB,58.7444,0.3,0.2,0.4,2680,51
MF,40.5552,0.3,0.2,0.4,2680,51
IL,13.6444,0.02,0.1,0.4,2681,46
MB,4.478387364921031,0.02,0.1,0.4,2681,46
MF,102.0456,0.02,0.1,0.4,2681,46
IL,23.9624,0.14,0.2,0.4,2682,43
MB,7.4236,0.14,0.2,0.4,2682,43
MF,88.614,0.14,0.2,0.4,2682,43
IL,30.918,0.78,0.2,0.4,2683,49
MB,74.636,0.78,0.2,0.4,2683,49
MF,14.668968318440292,0.78,0.2,0.4,2683,49
IL,44.3512,0.48,0.3,0.4,2684,47
MB,29.0456,0.48,0.3,0.4,2684,47
MF,46.6032,0.48,0.3,0.4,2684,47
IL,21.2236,0.3,0.2,0.4,2685,45
MB,59.7888,0.3,0.2,0.4,2685,45
MF,38.9876,0.3,0.2,0.4,2685,45
IL,44.3276,0.76,0.2,0.4,2686,51
MB,51.7648,0.76,0.2,0.4,2686,51
