strategy,count,delta,lambda,kappa,sim,seed
MF,92.526,0.12,0.2,0.4,114,45
IL,16.8736,0.5,0.2,0.4,115,43
MB,85.8052,0.5,0.2,0.4,115,43
MF,17.3212,0.5,0.2,0.4,115,43
IL,26.4812,0.12,0.2,0.4,116,51
MB,15.1164,0.12,0.2,0.4,116,51
MF,78.4024,0.12,0.2,0.4,116,51
IL,32.8196,0.96,0.3,0.4,117,47
MB,83.388,0.96,0.3,0.4,117,47
MF,5.011099365750528,0.96,0.3,0.4,117,47
IL,9.685493701747257,0.66,0.1,0.4,118,46
MB,100.0944,0.66,0.1,0.4,118,46
MF,10.3712,0.66,0.1,0.4,118,46
IL,66.9288,0.54,0.2,0.4,119,45
MB,20.6376,0.54,0.2,0.4,119,45
MF,32.4336,0.54,0.2,0.4,119,45
IL,22.2964,0.54,0.2,0.4,120,51
MB,86.1044,0.54,0.2,0.4,120,51
MF,12.117843710823234,0.54,0.2,0.4,120,51
IL,11.4908,0.13,0.1,0.4,121,50
MB,13.164,0.13,0.1,0.4,121,50
MF,95.3452,0.13,0.1,0.4,121,50
IL,52.508,0.59,0.3,0.4,122,51
MB,46.4492,0.59,0.3,0.4,122,51
MF,21.0428,0.59,0.3,0.4,122,51
IL,26.842,0.11,0.3,0.4,123,49
MB,7.697395618023977,0.11,0.3,0.4,123,49
MF,85.71,0.11,0.3,0.4,123,49
IL,59.256,0.59,0.3,0.4,124,45
MB,17.604,0.59,0.3,0.4,124,45
MF,43.14,0.59,0.3,0.4,124,45
IL,21.8292,0.37,0.1,0.4,125,42
MB,72.0636,0.37,0.1,0.4,125,42
MF,26.1072,0.37,0.1,0.4,125,42
IL,9.1396,0.13,0.1,0.4,126,44
MB,53.862,0.13,0.1,0.4,126,44
MF,56.9984,0.13,0.1,0.4,126,44
IL,17.6756,0.21,0.2,0.4,127,47
MB,20.326,0.21,0.2,0.4,127,47
MF,81.9984,0.21,0.2,0.4,127,47
IL,8.9616,0.4,0.1,0.4,128,42
MB,72.5404,0.4,0.1,0.4,128,42
MF,38.498,0.4,0.1,0.4,128,42
IL,6.65566037735849,0.55,0.1,0.4,129,50
MB,97.444,0.55,0.1,0.4,129,50
MF,16.3476,0.55,0.1,0.4,129,50
IL,62.0112,0.8,0.3,0.4,130,43
MB,37.99,0.8,0.3,0.4,130,43
MF,19.9988,0.8,0.3,0.4,130,43
IL,9.244746600741657,0.71,0.1,0.4,131,42
MB,102.1748,0.71,0.1,0.4,131,42
MF,8.8504,0.71,0.1,0.4,131,42
IL,11.5984,0.55,0.1,0.4,132,44
MB,95.882,0.55,0.1,0.4,132,44
MF,12.5196,0.55,0.1,0.4,132,44
IL,30.9628,0.67,0.2,0.4,133,47
MB,69.6396,0.67,0.2,0.4,133,47
MF,19.3976,0.67,0.2,0.4,133,47
IL,50.4748,0.57,0.3,0.4,134,49
MB,20.4868,0.57,0.3,0.4,134,49
MF,49.0384,0.57,0.3,0.4,134,49
IL,52.9844,0.81,0.3,0.4,135,43
MB,34.7036,0.81,0.3,0.4,135,43
MF,32.312,0.81,0.3,0.4,135,43
IL,26.6852,0.42,0.3,0.4,136,47
MB,10.0792,0.42,0.3,0.4,136,47
MF,83.2356,0.42,0.3,0.4,136,47
IL,7.997127615921214,0.08,0.1,0.4,137,46
MB,97.788,0.08,0.1,0.4,137,46
MF,14.4164,0.08,0.1,0.4,137,46
IL,15.6844,0.72,0.2,0.4,138,49
MB,98.3776,0.72,0.2,0.4,138,49
MF,5.938,0.72,0.2,0.4,138,49
IL,29.0876,0.9,0.2,0.4,139,45
MB,73.0152,0.9,0.2,0.4,139,45
MF,17.8972,0.9,0.2,0.4,139,45
IL,20.476635514018692,0.9,0.2,0.4,140,51
MB,95.584,0.9,0.2,0.4,140,51
MF,5.03880738286796,0.9,0.2,0.4,140,51
IL,14.0164,0.7,0.2,0.4,141,49
MB,79.282,0.7,0.2,0.4,141,49
MF,26.7016,0.7,0.2,0.4,141,49
IL,40.8116,0.34,0.2,0.4,142,49
MB,20.1332,0.34,0.2,0.4,142,49
MF,59.0552,0.34,0.2,0.4,142,49
IL,36.358,0.58,0.2,0.4,143,43
MB,63.4448,0.58,0.2,0.4,143,43
MF,20.1972,0.58,0.2,0.4,143,43
IL,8.270716009654063,0.04,0.3,0.4,144,47
MB,6.7324,0.04,0.3,0.4,144,47
MF,105.0432,0.04,0.3,0.4,144,47
IL,25.8968,0.8,0.1,0.4,145,50
MB,80.4188,0.8,0.1,0.4,145,50
MF,13.850607287449392,0.8,0.1,0.4,145,50
IL,42.28,0.71,0.3,0.4,146,51
MB,60.198,0.71,0.3,0.4,146,51
MF,17.522,0.71,0.3,0.4,146,51
IL,10.412,0.81,0.1,0.4,147,50
MB,101.4892,0.81,0.1,0.4,147,50
MF,8.0988,0.81,0.1,0.4,147,50
IL,13.370809484873263,0.73,0.1,0.4,148,48
MB,98.8612,0.73,0.1,0.4,148,48
MF,8.0568,0.73,0.1,0.4,148,48
IL,8.37344398340249,0.81,0.1,0.4,149,44
MB,102.854,0.81,0.1,0.4,149,44
MF,9.074,0.81,0.1,0.4,149,44
IL,26.7844,0.09,0.2,0.4,150,47
MB,12.3344,0.09,0.2,0.4,150,47
MF,80.8812,0.09,0.2,0.4,150,47
IL,42.6808,0.39,0.3,0.4,151,49
MB,8.734407269723254,0.39,0.3,0.4,151,49
MF,68.8608,0.39,0.3,0.4,151,49
IL,81.1328,0.83,0.3,0.4,152,49
MB,23.63,0.83,0.3,0.4,152,49
MF,15.2372,0.83,0.3,0.4,152,49
IL,29.4112,0.71,0.3,0.4,153,45
MB,72.87,0.71,0.3,0.4,153,45
MF,17.7188,0.71,0.3,0.4,153,45
IL,33.6572,0.55,0.3,0.4,154,43
MB,56.604,0.55,0.3,0.4,154,43
MF,29.7388,0.55,0.3,0.4,154,43
IL,17.3632,0.8,0.1,0.4,155,44
MB,96.946,0.8,0.1,0.4,155,44
MF,5.6908,0.8,0.1,0.4,155,44
IL,37.7652,0.37,0.3,0.4,156,51
MB,25.2672,0.37,0.3,0.4,156,51
MF,56.9676,0.37,0.3,0.4,156,51
IL,33.4564,0.4,0.3,0.4,157,51
MB,13.6056,0.4,0.3,0.4,157,51
MF,72.938,0.4,0.3,0.4,157,51
IL,25.2424,0.6,0.1,0.4,158,48
MB,57.9436,0.6,0.1,0.4,158,48
MF,36.814,0.6,0.1,0.4,158,48
IL,46.8,0.4,0.3,0.4,159,45
MB,10.688,0.4,0.3,0.4,159,45
MF,62.512,0.4,0.3,0.4,159,45
IL,45.45,0.37,0.3,0.4,160,45
MB,23.0088,0.37,0.3,0.4,160,45
MF,51.5412,0.37,0.3,0.4,160,45
IL,10.6984,0.13,0.3,0.4,161,43
MB,4.427824688379574,0.13,0.3,0.4,161,43
MF,104.8968,0.13,0.3,0.4,161,43
IL,15.9504,0.59,0.1,0.4,162,42
MB,81.7144,0.59,0.1,0.4,162,42
MF,22.3352,0.59,0.1,0.4,162,42
IL,10.9756,0.35,0.1,0.4,163,48
MB,45.1176,0.35,0.1,0.4,163,48
MF,63.9068,0.35,0.1,0.4,163,48
IL,56.2628,0.62,0.3,0.4,164,43
MB,34.71,0.62,0.3,0.4,164,43
MF,29.0272,0.62,0.3,0.4,164,43
IL,68.684,0.46,0.3,0.4,165,45
MB,16.4984,0.46,0.3,0.4,165,45
MF,34.8176,0.46,0.3,0.4,165,45
IL,21.8216,0.44,0.1,0.4,166,48
MB,66.5316,0.44,0.1,0.4,166,48
MF,31.6468,0.44,0.1,0.4,166,48
IL,29.5032,0.84,0.2,0.4,167,47
MB,83.246,0.84,0.2,0.4,167,47
MF,7.2508,0.84,0.2,0.4,167,47
IL,11.181476846057572,0.92,0.1,0.4,168,42
MB,103.7908,0.92,0.1,0.4,168,42
MF,5.968247063940844,0.92,0.1,0.4,168,42
IL,22.316,0.28,0.1,0.4,169,42
MB,66.5712,0.28,0.1,0.4,169,42
MF,31.1128,0.28,0.1,0.4,169,42
IL,53.6224,0.46,0.3,0.4,170,51
MB,30.0208,0.46,0.3,0.4,170,51
MF,36.3568,0.46,0.3,0.4,170,51
IL,26.7252,0.78,0.2,0.4,171,47
MB,75.2352,0.78,0.2,0.4,171,47
MF,18.0396,0.78,0.2,0.4,171,47
IL,6.71694298422968,0.02,0.1,0.4,172,48
MB,21.1172,0.02,0.1,0.4,172,48
MF,92.2384,0.02,0.1,0.4,172,48
IL,23.3332,0.24,0.3,0.4,173,43
MB,11.0644,0.24,0.3,0.4,173,43
MF,85.6024,0.24,0.3,0.4,173,43
IL,52.64,0.48,0.3,0.4,174,49
MB,12.82,0.48,0.3,0.4,174,49
MF,54.54,0.48,0.3,0.4,174,49
IL,30.9664,0.29,0.2,0.4,175,43
MB,27.3464,0.29,0.2,0.4,175,43
MF,61.6872,0.29,0.2,0.4,175,43
IL,21.5132,0.85,0.1,0.4,176,46
MB,88.7,0.85,0.1,0.4,176,46
MF,9.7868,0.85,0.1,0.4,176,46
IL,23.3908,0.45,0.2,0.4,177,49
MB,41.956,0.45,0.2,0.4,177,49
MF,54.6532,0.45,0.2,0.4,177,49
IL,27.7096,0.93,0.2,0.4,178,43
MB,84.9244,0.93,0.2,0.4,178,43
MF,7.366,0.93,0.2,0.4,178,43
IL,40.6048,0.75,0.3,0.4,179,47
MB,63.4076,0.75,0.3,0.4,179,47
MF,15.9876,0.75,0.3,0.4,179,47
IL,10.2384,0.0,0.3,0.4,180,47
MB,8.8728,0.0,0.3,0.4,180,47
MF,100.8888,0.0,0.3,0.4,180,47
IL,64.3056,0.89,0.3,0.4,181,47
MB,42.308,0.89,0.3,0.4,181,47
MF,13.3864,0.89,0.3,0.4,181,47
IL,29.9144,0.33,0.3,0.4,182,47
MB,26.432,0.33,0.3,0.4,182,47
MF,63.6536,0.33,0.3,0.4,182,47
IL,12.55,0.03,0.2,0.4,183,49
MB,4.187925170068027,0.03,0.2,0.4,183,49
MF,103.51,0.03,0.2,0.4,183,49
IL,21.972,0.79,0.1,0.4,184,46
MB,86.8524,0.79,0.1,0.4,184,46
MF,11.1756,0.79,0.1,0.4,184,46
IL,8.62,0.0,0.3,0.4,185,51
MB,6.4856,0.0,0.3,0.4,185,51
MF,104.8944,0.0,0.3,0.4,185,51
