strategy,count,delta,lambda,kappa,sim
MB,4.0122050447518305,0.30000000000000004,0.9,0.7000000000000001,64
MF,111.5588,0.30000000000000004,0.9,0.7000000000000001,64
IL,7.4932,0.1,0.30000000000000004,0.8,65
MB,8.5684,0.1,0.30000000000000004,0.8,65
MF,103.9384,0.1,0.30000000000000004,0.8,65
IL,105.7864,0.9,0.5,0.0,66
MB,7.88573846804909,0.9,0.5,0.0,66
MF,7.024106400665004,0.9,0.5,0.0,66
IL,75.3488,0.4,0.1,0.2,67
MB,19.264112072517513,0.4,0.1,0.2,67
MF,25.9496,0.4,0.1,0.2,67
IL,35.618,0.6000000000000001,0.30000000000000004,0.5,68
MB,32.4784,0.6000000000000001,0.30000000000000004,0.5,68
MF,51.9036,0.6000000000000001,0.30000000000000004,0.5,68
IL,16.4244,0.9,0.0,0.2,69
MB,98.0108,0.9,0.0,0.2,69
MF,5.5648,0.9,0.0,0.2,69
IL,7.308,0.9,0.7000000000000001,0.9,70
MB,6.8536,0.9,0.7000000000000001,0.9,70
MF,105.8384,0.9,0.7000000000000001,0.9,70
IL,108.3268,0.4,0.4,0.0,71
MB,5.628,0.4,0.4,0.0,71
MF,6.0452,0.4,0.4,0.0,71
IL,107.5292,0.5,0.7000000000000001,0.1,72
MB,5.4748,0.5,0.7000000000000001,0.1,72
MF,6.996,0.5,0.7000000000000001,0.1,72
IL,107.9556,0.6000000000000001,0.6000000000000001,0.0,73
MB,4.1328,0.6000000000000001,0.6000000000000001,0.0,73
MF,7.9116,0.6000000000000001,0.6000000000000001,0.0,73
IL,83.2968,0.30000000000000004,0.8,0.2,74
MB,3.1436417405999153,0.30000000000000004,0.8,0.2,74
MF,33.7268,0.30000000000000004,0.8,0.2,74
IL,4.9744,0.1,0.4,0.8,75
MB,5.332,0.1,0.4,0.8,75
MF,109.6936,0.1,0.4,0.8,75
IL,5.4528,0.7000000000000001,0.7000000000000001,1.0,76
MB,3.7001661129568104,0.7000000000000001,0.7000000000000001,1.0,76
MF,110.9832,0.7000000000000001,0.7000000000000001,1.0,76
IL,4.2736,0.0,0.1,0.6000000000000001,77
MB,14.2288,0.0,0.1,0.6000000000000001,77
MF,101.4976,0.0,0.1,0.6000000000000001,77
IL,70.246,0.30000000000000004,0.6000000000000001,0.30000000000000004,78
MB,8.586065573770492,0.30000000000000004,0.6000000000000001,0.30000000000000004,78
MF,41.374,0.30000000000000004,0.6000000000000001,0.30000000000000004,78
IL,49.8424,0.9,0.3,0.3,79
MB,57.2244,0.9,0.3,0.3,79
MF,12.9332,0.9,0.3,0.3,79
IL,5.122,0.0,0.5,0.4,80
MB,3.5771894093686356,0.0,0.5,0.4,80
MF,111.3652,0.0,0.5,0.4,80
IL,106.7656,0.9,1.0,0.3,81
MB,5.22107863318238,0.9,1.0,0.3,81
MF,8.1616,0.9,1.0,0.3,81
IL,26.604,0.1,1.0,0.30000000000000004,82
MB,2.623724489795918,0.1,1.0,0.30000000000000004,82
MF,90.9276,0.1,1.0,0.30000000000000004,82
IL,4.2224,0.1,0.8,1.0,83
MB,3.306951423785595,0.1,0.8,1.0,83
MF,112.6188,0.1,0.8,1.0,83
IL,101.4576,0.7000000000000001,0.4,0.30000000000000004,84
MB,8.8696,0.7000000000000001,0.4,0.30000000000000004,84
MF,9.6728,0.7000000000000001,0.4,0.30000000000000004,84
IL,104.6124,0.7000000000000001,0.6000000000000001,0.2,85
